"id","name","created_at","updated_at"
1,"dead","2021-02-17 00:18:24.709693","2021-02-17 00:18:24.709693"
2,"undercover","2021-02-17 00:23:14.991011","2021-02-17 00:23:14.991011"
3,"skate park","2021-02-17 00:24:14.820128","2021-02-17 00:24:14.820128"
4,"handrail","2021-02-17 00:53:49.935035","2021-02-17 00:53:49.935035"
5,"12 set","2021-02-17 00:53:49.942649","2021-02-17 00:53:49.942649"
6,"check out","2021-02-17 00:57:37.436652","2021-02-17 00:57:37.436652"
7,"photogenic","2021-02-17 02:26:08.102808","2021-02-17 02:26:08.102808"
8,"sick","2021-02-17 02:27:13.702156","2021-02-17 02:27:13.702156"
9,"stoppied","2021-02-17 03:05:09.562117","2021-02-17 03:05:09.562117"
10,"dead","2021-02-17 13:47:44.842255","2021-02-17 13:47:44.842255"
11,"sick","2021-02-17 14:08:16.170978","2021-02-17 14:08:16.170978"
12,"delete","2021-02-18 00:36:21.961407","2021-02-18 00:36:21.961407"
13,"wanna hit","2021-04-01 12:42:26.69067","2021-04-01 12:42:26.69067"
